yx 108.162.198.205
wendin1 162.159.39.162
wendin2 172.64.52.127
主域名 de.ywsqbw.uk
japan1 162.159.45.48
japan2 162.159.44.19
japan3 108.162.198.170
japan4 162.159.44.153
japan5 162.159.45.61
japan6 162.159.39.189
japan7 108.162.198.16
japan8 162.159.38.246
japan9 172.64.53.21
japanT 108.162.198.33

NTR1 162.159.39.74
NRT2 162.159.38.57
NTR3 172.64.52.189
SIN1 104.18.38.223
SIN2 162.159.2.86

KR1 112.165.88.232:25010
KR2 121.180.225.222:11001
KR3 1.239.100.90:18789
SG 103.26.8.49:10443
TW1 220.128.110.108:43
TW2 36.231.92.207:30001
                                                               
